"Bulan","datang","berangkat"
"Jan-11","112","184"
"Feb-11","159","140"
"Mar-11","149","185"
"Apr-11","0","0"
"May-11","417","482"
"Jun-11","224","247"
"Jul-11","261","272"
"Aug-11","236","179"
"Sep-11","559","676"
"Oct-11","648","556"
"Nov-11","652","505"
"Dec-11","560","432"
"Jan-12","261","292"
"Feb-12","535","569"
"Mar-12","503","464"
"Apr-12","587","584"
"May-12","909","878"
"Jun-12","881","940"
"Jul-12","1191","1034"
"Aug-12","1147","998"
"Sep-12","1415","1462"
"Oct-12","1532","1448"
"Nov-12","1805","1685"
"Dec-12","1380","1283"
"Jan-13","1449","1401"
"Feb-13","1513","1630"
"Mar-13","1870","1862"
"Apr-13","1717","1789"
"May-13","1861","1870"
"Jun-13","1787","1839"
"Jul-13","1684","1923"
"Aug-13","1857","1899"
"Sep-13","1907","1884"
"Oct-13","2036","2082"
"Nov-13","1912","1995"
"Dec-13","2092","2120"
"Jan-14","2013","2102"
"Feb-14","1953","2112"
"Mar-14","2050","2125"
"Apr-14","1885","1987"
"May-14","4601","3705"
"Jun-14","4434","3743"
"Jul-14","4277","4154"
"Aug-14","5524","4150"
"Sep-14","4601","3705"
"Oct-14","4718","4933"
"Nov-14","4767","4631"
"Dec-14","5445","4812"
"Jan-15","4187","3682"
"Feb-15","4101","3820"
"Mar-15","5000","4599"
"Apr-15","4866","4610"
"May-15","4848","4857"
"Jun-15","4893","5005"
"Jul-15","2770","2967"
"Aug-15","3074","2913"
"Sep-15","4735","4598"
"Oct-15","5057","4790"
"Nov-15","3413","3436"
"Dec-15","3852","4002"
"Jan-16","3662","3611"
"Feb-16","3612","3549"
"Mar-16","4108","4131"
"Apr-16","4043","4068"
"May-16","4897","4828"
"Jun-16","4404","4656"
"Jul-16","5783","5466"
"Aug-16","5339","5148"
"Sep-16","5109","4910"
"Oct-16","5551","4870"
"Nov-16","5461","5182"
"Dec-16","5440","5327"
"Jan-17","5325","4841"
"Feb-17","4745","4418"
"Mar-17","5692","5268"
"Apr-17","5303","4976"
"May-17","5359","5148"
"Jun-17","5673","6578"
"Jul-17","9265","8397"
"Aug-17","8616","8535"
"Sep-17","10563","10285"
"Oct-17","10995","10471"
"Nov-17","11488","11350"
"Dec-17","12534","13124"
"Jan-18","11540","10586"
"Feb-18","11856","11547"
"Mar-18","13849","14281"
"Apr-18","15519","15358"
"May-18","12162","12479"
"Jun-18","15661","17361"
"Jul-18","18933","6918"
"Aug-18","18283","18137"
"Sep-18","19426","18390"
"Oct-18","17528","17361"
"Nov-18","14812","15236"
"Dec-18","13111","15848"
"Jan-19","161","161"
"Feb-19","136","136"
"Mar-19","139","140"
"Apr-19","123","123"
"May-19","136","136"
"Jun-19","146","146"
"Jul-19","156","156"
"Aug-19","149","149"
"Sep-19","122","123"
"Oct-19","209","209"
"Nov-19","107","119"
"Dec-19","121","122"
"Jan-20","126","127"
"Feb-20","107","107"
"Mar-20","149","149"
"Apr-20","40","40"
"May-20","1","1"
"Jun-20","9","9"
"Jul-20","46","46"
"Aug-20","83","82"
"Sep-20","74","75"
"Oct-20","88","88"
"Nov-20","113","113"
"Dec-20","124","124"
"Jan-21","2910","2532"
"Feb-21","1248","1325"
"Mar-21","3024","3396"
"Apr-21","3907","4379"
"May-21","3433","3486"
"Jun-21","8959","4491"
"Jul-21","392","426"
"Aug-21","441","489"
"Sep-21","953","857"
"Oct-21","2062","2054"
"Nov-21","2020","1955"
"Dec-21","3365","3301"
"Jan-22","3267","2532"
"Feb-22","2600","1325"
"Mar-22","3751","3396"
"Apr-22","3238","4379"
"May-22","7018","3486"
"Jun-22","5226","4491"
"Jul-22","5146","426"
"Aug-22","4775","489"
"Sep-22","4380","857"
"Oct-22","5023","2054"
"Nov-22","4120","1955"
"Dec-22","5693","3301"
